가게명,리뷰수,배달기준금액,배달비,리뷰수_log,배달기준금액_log,배달비_log,ClusterLabel
국민닭발-노원점,212,17000,3000,5.3612921657094255,9.741027444837728,8.006700845440367,1
맛있는곱창-본점,479,22000,3000,6.173786103901937,9.99884318585288,8.006700845440367,1
육회바른연어-쌍문점,194,10000,3500,5.272999558563747,9.210440366976517,8.160803920954665,0
우동야마이루식-창동점,51,9800,1900,3.9512437185814275,9.19023970026918,7.550135342488429,0
페리카나-상계역점,3251,17000,3000,8.087025470667701,9.741027444837728,8.006700845440367,1
크라칸치킨,205,14900,2000,5.327876168789581,9.60918360377546,7.601402334583733,2
지랄닭발-노원점,103,15000,2500,4.6443908991413725,9.61587214452889,7.824445930877619,1
응급실국물떡볶이-서울창동역점,1504,15000,3500,7.316548177182976,9.61587214452889,8.160803920954665,1
가장맛있는족발-수락산점,225,30000,2000,5.420534999272286,10.308985993422082,7.601402334583733,2
족발야시장-공릉점,2499,30000,4000,7.824046010856292,10.308985993422082,8.294299608857235,1
BHC-도봉역점,9684,16000,3000,9.178333575841096,9.680406499268875,8.006700845440367,1
도야족발-창동점,1097,18000,2000,7.001245622069476,9.798182590890704,7.601402334583733,2
찜닭&닭도리달인-상계점,198,12000,3000,5.293304824724492,9.392745258631441,8.006700845440367,0
처갓집양념치킨-수락산점,1800,17000,2000,7.496097345175956,9.741027444837728,7.601402334583733,2
이삭토스트-방학점,2169,11000,4000,7.682482446534506,9.305741456739435,8.294299608857235,0
할머니가래떡볶이-노원본점,1502,14000,1900,7.315218389752975,9.546884034617925,7.550135342488429,2
고기극찬-노원점,64,16800,2500,4.174387269895637,9.729193687429403,7.824445930877619,3
박은선닭꼬치-방학점,76,20000,3000,4.343805421853684,9.90353755128617,8.006700845440367,1
타코만타코야끼,125,13000,3000,4.836281906951478,9.472781556562168,8.006700845440367,1
신군산횟집,7,20000,3000,2.0794415416798357,9.90353755128617,8.006700845440367,3
스시데마에,336,15500,1000,5.820082930352362,9.648659816955295,6.90875477931522,2
광수육회-방학점,292,15000,3000,5.680172609017068,9.61587214452889,8.006700845440367,1
1인육회,95,10900,3000,4.564348191467836,9.296609807128359,8.006700845440367,0
맛닭꼬-중계브라운스톤점,276,12000,3000,5.6240175061873385,9.392745258631441,8.006700845440367,0
왕손피자-도봉구점,1267,15000,2000,7.145196134997171,9.61587214452889,7.601402334583733,2
순살만공격-상계점,88,14000,4000,4.48863636973214,9.546884034617925,8.294299608857235,3
명품동태탕&해물알찜,49,20000,2000,3.912023005428146,9.90353755128617,7.601402334583733,2
앤덤두마리치킨,1472,16000,2000,7.29505641646263,9.680406499268875,7.601402334583733,2
라사천마라탕-노원점,468,14900,3400,6.150602768446279,9.60918360377546,8.131824785007195,1
기영이숯불두마리치킨-노원상계점,45,15000,2500,3.828641396489095,9.61587214452889,7.824445930877619,3
세븐한식&분식천국,847,13000,3000,6.742880635791903,9.472781556562168,8.006700845440367,1
찌개덕후-본점,333,9900,3500,5.811140992976701,9.200391041122515,8.160803920954665,0
정음지음-김치요리전문점,544,16000,2500,6.300785794663244,9.680406499268875,7.824445930877619,1
레전드고기한상-도봉점,378,10000,3000,5.937536205082426,9.210440366976517,8.006700845440367,0
동대문엽기떡볶이-노원점,293,14000,3000,5.683579767338681,9.546884034617925,8.006700845440367,1
청년다방-노원역점,1134,13500,2500,7.034387929915503,9.510519035757246,7.824445930877619,1
수유리우동집-수락산점,396,13000,2900,5.983936280687191,9.472781556562168,7.972810784121404,1
동대문엽기떡볶이-중계점,616,14000,3000,6.424869023905388,9.546884034617925,8.006700845440367,1
명인만두-방학점,1508,12000,3000,7.319202458767849,9.392745258631441,8.006700845440367,1
스쿨푸드-노원점,678,15000,2500,6.520621127558696,9.61587214452889,7.824445930877619,1
꿈의김밥-노원점,167,5000,2900,5.123963979403259,8.517393171418904,7.972810784121404,0
걸작떡볶이치킨-쌍문창동점,3925,18000,3000,8.275376374836407,9.798182590890704,8.006700845440367,1
놀떡-보람한신점,330,11900,1000,5.802118375377063,9.38437770918244,6.90875477931522,2
김가네-방학역점,827,13000,2900,6.71901315438526,9.472781556562168,7.972810784121404,1
김밥천국-공릉점,974,11000,3000,6.882437470997847,9.305741456739435,8.006700845440367,0
최배달떡순튀-노원점,211,12000,2000,5.356586274672012,9.392745258631441,7.601402334583733,2
동대문엽기떡볶이-수락산점,127,14000,3000,4.852030263919617,9.546884034617925,8.006700845440367,1
은사즉석떡볶이-중계본점,431,12000,3000,6.068425588244111,9.392745258631441,8.006700845440367,0
킹스김밥,467,12000,3000,6.148468295917647,9.392745258631441,8.006700845440367,0
신참떡볶이-마들역점,386,12000,2500,5.958424693029782,9.392745258631441,7.824445930877619,0
배떡-쌍문점,981,12000,2900,6.889591308354466,9.392745258631441,7.972810784121404,1
떡참떡볶이참잘하는집-노원점,125,12000,2400,4.836281906951478,9.392745258631441,7.783640596221253,0
응큼떡볶이-창동점,32,9800,1900,3.4965075614664802,9.19023970026918,7.550135342488429,0
응급실국물떡볶이-상계점,851,14000,2500,6.747586526829315,9.546884034617925,7.824445930877619,1
김밥천국-마들역점,338,15000,3000,5.82600010738045,9.61587214452889,8.006700845440367,1
옆집떡볶이-쌍문점,103,12000,4000,4.6443908991413725,9.392745258631441,8.294299608857235,0
우동야마이루식-창동점,51,9800,1900,3.9512437185814275,9.19023970026918,7.550135342488429,0
33떡볶이-상록마들점,96,14000,2000,4.574710978503383,9.546884034617925,7.601402334583733,2
얌샘김밥-중계역점,322,15000,3500,5.777652323222656,9.61587214452889,8.160803920954665,1
할머니가래떡볶이-노원본점,1502,14000,1900,7.315218389752975,9.546884034617925,7.550135342488429,2
신전떡볶이-도봉점,1978,15000,2500,7.590346945602565,9.61587214452889,7.824445930877619,1
달떡볶이-노원점,467,11000,2500,6.148468295917647,9.305741456739435,7.824445930877619,0
명가김밥,2330,12000,4000,7.754052639035757,9.392745258631441,8.294299608857235,1
명동분식-방학동도깨비시장점,130,10000,2900,4.875197323201151,9.210440366976517,7.972810784121404,0
청년다방-상계역점,1066,13500,3500,6.9726062513017535,9.510519035757246,8.160803920954665,1
민들레김밥-쌍문홀씨점,42,12000,2900,3.7612001156935624,9.392745258631441,7.972810784121404,3
마몽로제떡볶이-노원상계점,351,8000,3900,5.863631175598097,8.987321812850125,8.268988209506656,0
금강분식,1498,10000,3400,7.312553498102598,9.210440366976517,8.131824785007195,0
신전떡볶이-노원역점,218,15000,3400,5.389071729816501,9.61587214452889,8.131824785007195,1
신전떡볶이-은행사거리점,574,14000,4800,6.354370040797351,9.546884034617925,8.476579508530941,1
응급실국물떡볶이-쌍문역점,1017,15000,4000,6.925595197110468,9.61587214452889,8.294299608857235,1
응급실국물떡볶이-서울창동역점,1504,15000,3500,7.316548177182976,9.61587214452889,8.160803920954665,1
걸작떡볶이치킨-노원상계점,158,18000,3000,5.0689042022202315,9.798182590890704,8.006700845440367,1
땅스떡볶이-방학점,101,11900,1000,4.624972813284271,9.38437770918244,6.90875477931522,2
떡볶이에빠지다,17,5000,2500,2.8903717578961645,8.517393171418904,7.824445930877619,0
부리또인-노원역점,9,15000,2900,2.302585092994046,9.61587214452889,7.972810784121404,3
두레마을우동집-창동직영점,123,10000,3000,4.820281565605037,9.210440366976517,8.006700845440367,0
제육천재-도봉점,1485,9900,2400,7.303843225277705,9.200391041122515,7.783640596221253,0
타코만타코야끼,125,13000,3000,4.836281906951478,9.472781556562168,8.006700845440367,1
여우애김밥-상계점,111,12000,3200,4.718498871295094,9.392745258631441,8.071218539969863,0
은사즉석떡볶이-쌍문점,258,12000,2500,5.556828061699537,9.392745258631441,7.824445930877619,0
분식문방구-하계점,874,10000,6400,6.774223886357614,9.210440366976517,8.764209507142004,0
눈치떡-상계점,139,12000,2000,4.941642422609304,9.392745258631441,7.601402334583733,2
배떡-수락산역점,89,12000,3500,4.499809670330265,9.392745258631441,8.160803920954665,0
동대문엽기떡볶이-노원역점,31,14000,4000,3.4657359027997265,9.546884034617925,8.294299608857235,3
밥깨비-노원점,1039,12000,2000,6.946975992135418,9.392745258631441,7.601402334583733,2
백남옥손만두-노원역점,61,10000,3400,4.127134385045092,9.210440366976517,8.131824785007195,0
최대섭대박김밥,230,15000,3400,5.442417710521793,9.61587214452889,8.131824785007195,1
2009미스터떡볶이&김밥,174,12000,3400,5.1647859739235145,9.392745258631441,8.131824785007195,0
떡볶이스타-노원점,420,14000,2900,6.042632833682381,9.546884034617925,7.972810784121404,1
케이콜라보떡볶이김밥-상계역점,137,13000,3900,4.927253685157205,9.472781556562168,8.268988209506656,1
매운국물떡볶이밀방떡-도봉구점,587,14000,2900,6.376726947898627,9.546884034617925,7.972810784121404,1
스태프핫도그-방학점,586,8000,2900,6.375024819828097,8.987321812850125,7.972810784121404,0
삼첩분식-서울노원점,632,14000,4000,6.450470422144176,9.546884034617925,8.294299608857235,1
행컵-노원점,1522,14000,2500,7.328437352895162,9.546884034617925,7.824445930877619,1
미스테리분식,104,14000,2900,4.653960350157523,9.546884034617925,7.972810784121404,1
떡군이네떡볶이-노원상계점,246,12000,3400,5.5093883366279774,9.392745258631441,8.131824785007195,0
불볶이와튀김범벅-창동점,323,13000,4000,5.780743515792329,9.472781556562168,8.294299608857235,1
김종구부산어묵-노원점,3,9900,3500,1.3862943611198906,9.200391041122515,8.160803920954665,3
명품분식청년다방-노원점,11,13500,2000,2.4849066497880004,9.510519035757246,7.601402334583733,3
참분식,134,13000,3400,4.90527477843843,9.472781556562168,8.131824785007195,1
죠스떡볶이-중계은행사거리점,22,13000,4500,3.1354942159291497,9.472781556562168,8.412054873292933,3
명품만두-도봉점,3,10000,2900,1.3862943611198906,9.210440366976517,7.972810784121404,3
파라솔분식,52,12000,2900,3.970291913552122,9.392745258631441,7.972810784121404,3
봉구스밥버거-방학점,505,10000,3500,6.226536669287466,9.210440366976517,8.160803920954665,0
권순옥김밥,205,12000,4000,5.327876168789581,9.392745258631441,8.294299608857235,0
타코이찌타꼬야끼-노원전문점,213,14000,2000,5.365976015021851,9.546884034617925,7.601402334583733,2
아담만두-중계본점,22,9000,4400,3.1354942159291497,9.105090961257085,8.38958706681109,0
돈카춘돈까스&카레-노원점,212,10000,2900,5.3612921657094255,9.210440366976517,7.972810784121404,0
채선당도시락&샐러드-마들점,562,15000,2900,6.333279628139691,9.61587214452889,7.972810784121404,1
크래미김밥우동집,137,10000,5400,4.927253685157205,9.210440366976517,8.594339400592892,0
죠스떡볶이-방학역점,216,15000,4000,5.37989735354046,9.61587214452889,8.294299608857235,1
파파스김밥&떡볶이,393,15000,3400,5.976350909297934,9.61587214452889,8.131824785007195,1
떡참떡볶이참잘하는집-도봉창동점,90,9000,4000,4.51085950651685,9.105090961257085,8.294299608857235,0
걸작떡볶이치킨-방학점,1847,18000,3500,7.521859252201629,9.798182590890704,8.160803920954665,1
스파게티스토리-노원점,1133,13000,2400,7.033506484287697,9.472781556562168,7.783640596221253,1
달떡볶이-공릉점,36,13000,6500,3.6109179126442243,9.472781556562168,8.77971129020447,3
곱분이곱창-방학역점,332,18000,3000,5.808142489980444,9.798182590890704,8.006700845440367,1
응급실국물떡볶이-서울방학점,270,14000,4500,5.602118820879701,9.546884034617925,8.412054873292933,1
민들레김밥,35,15000,3000,3.58351893845611,9.61587214452889,8.006700845440367,3
모찌네타코야끼콩떡빙수-번동점,54,11000,5400,4.007333185232471,9.305741456739435,8.594339400592892,0
혜화동떡볶이극장-서울상계점,10,13900,3000,2.3978952727983707,9.539716058977092,8.006700845440367,3
볶음밥주는떡볶이,3,13000,2900,1.3862943611198906,9.472781556562168,7.972810784121404,3
태리로제떡볶이-서울쌍문점,42,17000,5000,3.7612001156935624,9.741027444837728,8.517393171418904,3
바보국수,4,12000,2800,1.6094379124341003,9.392745258631441,7.937731775260109,3
최고당돈가스-쌍문역점,676,10000,3900,6.517671272912275,9.210440366976517,8.268988209506656,0
파스타입니다-노원점,1310,7000,3200,7.1785454837637,8.853808274977197,8.071218539969863,0
프랭크수제치즈버거-방학역점,767,9900,3200,6.643789733147672,9.200391041122515,8.071218539969863,0
아오리라멘-노원점,365,12000,2500,5.902633333401366,9.392745258631441,7.824445930877619,0
원조멸치국수-마들점,54,13000,2900,4.007333185232471,9.472781556562168,7.972810784121404,3
감탄떡볶이-보람점,77,13000,2500,4.356708826689592,9.472781556562168,7.824445930877619,3
멘야마쯔리딜리버리라멘-중계점,175,12000,3400,5.170483995038151,9.392745258631441,8.131824785007195,0
고기듬뿍대왕비빔밥-서울노원점,920,19000,2900,6.825460036255307,9.852246888342531,7.972810784121404,1
명품만두-수락산점,11,10000,2900,2.4849066497880004,9.210440366976517,7.972810784121404,3
요거요거맛있네,13,13000,3900,2.6390573296152584,9.472781556562168,8.268988209506656,3
짱구네김밥분식,25,14000,3900,3.258096538021482,9.546884034617925,8.268988209506656,3
쉰요사오뎅,4,12000,3000,1.6094379124341003,9.392745258631441,8.006700845440367,3
총각네타코야끼,489,9000,6400,6.194405391104672,9.105090961257085,8.764209507142004,0
낙지한마리수제비-노원점,46,18000,2900,3.8501476017100584,9.798182590890704,7.972810784121404,3
만두퍼드림,20,10000,4400,3.044522437723423,9.210440366976517,8.38958706681109,3
차고집칡냉면&수제돈까스,1746,12000,2900,7.465655310134056,9.392745258631441,7.972810784121404,1
비엣포쌀국수,314,15900,3500,5.752572638825633,9.674137279312397,8.160803920954665,1
뽁자떡볶이,3,12000,2900,1.3862943611198906,9.392745258631441,7.972810784121404,3
프랭크수제치즈버거-수락산역점,310,9900,3300,5.739792912179234,9.200391041122515,8.101980731853192,0
수제떡볶이꼬레노,198,14000,3000,5.293304824724492,9.546884034617925,8.006700845440367,1
내고향왕만두,61,10000,4400,4.127134385045092,9.210440366976517,8.38958706681109,0
502세컨즈카페-노원점,1280,14000,3000,7.155396301896734,9.546884034617925,8.006700845440367,1
피자아이씨-중계본동점,58,15000,3000,4.07753744390572,9.61587214452889,8.006700845440367,3
육회란연어다-공릉묵동점,1081,14000,3500,6.9865664594064265,9.546884034617925,8.160803920954665,1
봉명동내커피-노원점,659,12000,3400,6.492239835020471,9.392745258631441,8.131824785007195,1
벤앤제리스아이스크림-방학DV점,1,12000,5000,0.6931471805599453,9.392745258631441,8.517393171418904,3
크로플각-본점,3785,9900,1800,8.239065331769268,9.200391041122515,7.496097345175956,2
소확행베이커리,1293,16500,1500,7.165493475060845,9.711176264112805,7.313886831633462,2
빽다방-노원문화의거리점,549,8000,3400,6.309918278226516,8.987321812850125,8.131824785007195,0
크리스피크림도넛-롯데노원점,211,15000,2000,5.356586274672012,9.61587214452889,7.601402334583733,2
카페아에-노원점,730,10000,2500,6.594413459749778,9.210440366976517,7.824445930877619,0
빽다방-수락산역점,206,8800,3000,5.332718793265369,9.082620630373812,8.006700845440367,0
포트캔커피-방학점,13,14000,2000,2.6390573296152584,9.546884034617925,7.601402334583733,3
와플대학-방학역캠퍼스점,73,10000,2900,4.30406509320417,9.210440366976517,7.972810784121404,0
요거트월드-노원점,57,10000,3400,4.060443010546419,9.210440366976517,8.131824785007195,0
커피킹-방학점,77,10000,2500,4.356708826689592,9.210440366976517,7.824445930877619,0
리프베이글&샌드위치,246,9800,1500,5.5093883366279774,9.19023970026918,7.313886831633462,2
포트캔커피(노원은행사거리점),140,11900,3000,4.948759890378168,9.38437770918244,8.006700845440367,0
배배커피(BAEBAECOFFEE),462,10000,3400,6.137727054086234,9.210440366976517,8.131824785007195,0
만스에스테이트-도봉점,148,5000,3400,5.003946305945459,8.517393171418904,8.131824785007195,0
커스텀커피-중계점,25,15000,2400,3.258096538021482,9.61587214452889,7.783640596221253,3
O'cafe오카페,167,13000,2900,5.123963979403259,9.472781556562168,7.972810784121404,1
배스킨라빈스-노원로데오점,949,13500,3000,6.856461984594587,9.510519035757246,8.006700845440367,1
카페작약,197,11000,1000,5.288267030694535,9.305741456739435,6.90875477931522,2
읍천리382-노원중계점,132,12000,3000,4.890349128221754,9.392745258631441,8.006700845440367,0
빽다방-노원역북부점,139,8000,2900,4.941642422609304,8.987321812850125,7.972810784121404,0
감각,114,9900,2000,4.74493212836325,9.200391041122515,7.601402334583733,0
빽다방-노원역우리은행점,708,8000,3400,6.5638555265321274,8.987321812850125,8.131824785007195,0
모퉁이카페,415,8500,2500,6.030685260261263,9.04793908261736,7.824445930877619,0
(주)빵굽는사람들,90,15000,2000,4.51085950651685,9.61587214452889,7.601402334583733,2
크로플전문점야미디저트,14,9900,2400,2.70805020110221,9.200391041122515,7.783640596221253,3
배스킨라빈스-도봉점,41,13500,3000,3.7376696182833684,9.510519035757246,8.006700845440367,3
할리스-노원문화의거리점,171,10000,2000,5.147494476813453,9.210440366976517,7.601402334583733,0
통큰커피청년다방-노원역점,7,13500,2000,2.0794415416798357,9.510519035757246,7.601402334583733,3
요거프레소-노원문화점,1160,17000,3400,7.057036981697891,9.741027444837728,8.131824785007195,1
카페봄날-방학점,163,7000,3300,5.099866427824199,8.853808274977197,8.101980731853192,0
요거트아이스크림의정석-쌍문점,243,8000,3900,5.497168225293202,8.987321812850125,8.268988209506656,0
Pokeallday포케&샐러드-노원점,12,12000,3500,2.5649493574615367,9.392745258631441,8.160803920954665,3
설빙-수락산역점,315,11900,4000,5.755742213586912,9.38437770918244,8.294299608857235,0
디저트얌수제마카롱,71,8000,2000,4.276666119016055,8.987321812850125,7.601402334583733,0
디저트39-노원점,6,18500,3400,1.9459101490553132,9.825580063659602,8.131824785007195,3
빽다방-창동역서부점,17,8000,3400,2.8903717578961645,8.987321812850125,8.131824785007195,0
빽다방-방학역점,32,5000,4300,3.4965075614664802,8.517393171418904,8.366602832783736,0
파리바게뜨-마들역점,1939,12000,2200,7.570443252057374,9.392745258631441,7.696667081526462,2
카페플랫&디저트,4,9000,1900,1.6094379124341003,9.105090961257085,7.550135342488429,3
모노치즈-방학역점,63,8000,2900,4.1588830833596715,8.987321812850125,7.972810784121404,0
쥬씨-차얌중계브라운스톤점,73,10000,3500,4.30406509320417,9.210440366976517,8.160803920954665,0
더벤티-방학역점,16,8000,3400,2.833213344056216,8.987321812850125,8.131824785007195,0
배스킨라빈스-마들역점,817,13500,3000,6.706862336602747,9.510519035757246,8.006700845440367,1
쥬씨-방학역점,318,10000,3300,5.765191102784844,9.210440366976517,8.101980731853192,0
마법사꽈베기도너츠,23,10000,3400,3.1780538303479458,9.210440366976517,8.131824785007195,3
에그몬-은행사거리점,108,10000,4400,4.6913478822291435,9.210440366976517,8.38958706681109,0
달빛과일-노원점,87,13000,3400,4.477336814478207,9.472781556562168,8.131824785007195,3
파리바게뜨-도봉1동점,1103,12000,2200,7.00669522683704,9.392745258631441,7.696667081526462,2
파리바게뜨-수락산역점,195,12000,2200,5.278114659230517,9.392745258631441,7.696667081526462,2
설빙-은행사거리점,372,13900,5000,5.921578419643816,9.539716058977092,8.517393171418904,1
하루달곰,16,12000,2900,2.833213344056216,9.392745258631441,7.972810784121404,3
노원토스트,476,10000,3500,6.1675164908883415,9.210440366976517,8.160803920954665,0
푸욱젤라또,25,15000,3400,3.258096538021482,9.61587214452889,8.131824785007195,3
와플대학-노원역캠퍼스점,1,10000,3000,0.6931471805599453,9.210440366976517,8.006700845440367,3
부스터샷커피-방학점,13,9000,2900,2.6390573296152584,9.105090961257085,7.972810784121404,3
컴포즈커피-상계중앙점,16,10000,3400,2.833213344056216,9.210440366976517,8.131824785007195,3
곤트란쉐리에-방학모비우스스퀘어점,7,15000,2900,2.0794415416798357,9.61587214452889,7.972810784121404,3
매머드익스프레스-노원롯데점,44,10000,3400,3.8066624897703196,9.210440366976517,8.131824785007195,0
카페.미니,65,11000,2900,4.189654742026425,9.305741456739435,7.972810784121404,0
샐러디-노원역점,554,9000,3400,6.318968113746434,9.105090961257085,8.131824785007195,0
샹도르과자점,40,12000,3400,3.713572066704308,9.392745258631441,8.131824785007195,3
